GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
FUN0_003927	scaffold_3:1522178-1523443	+	344	hypothetical protein		ENOG503NVHP									GO:0016831 carboxy-lyase activity; GO:0016787 hydrolase activity		
FUN0_003928	scaffold_3:1523543-1525858	-	580	hypothetical protein		ENOG503NVEN									GO:0005509 calcium ion binding; GO:0055085 transmembrane transport		
FUN0_003929	scaffold_3:1526211-1527462	-	347	hypothetical protein													
FUN0_003930	scaffold_3:1529051-1530220	-	355	hypothetical protein		ENOG503P3ZC											
FUN0_003931	scaffold_3:1530665-1531143	-	100	ribosomal protein L36		ENOG503P53R									GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
FUN0_003932	scaffold_3:1531569-1533126	-	382	casein kinase 2 regulatory subunit		ENOG503NXI9									GO:0005956 protein kinase CK2 complex; GO:0019887 protein kinase regulator activity		
FUN0_003933	scaffold_3:1533342-1534794	-	427	hypothetical protein		ENOG503NX99									GO:0016021 membrane		
FUN0_003934	scaffold_3:1535285-1537031	+	376	NAD-dependent isocitrate dehydrogenase		ENOG503NVMJ									GO:0000287 magnesium ion binding; GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0051287 NAD binding; GO:0006099 tricarboxylic acid cycle		
FUN0_003935	scaffold_3:1537429-1542370	+	1447	Translational repressor		ENOG503NWBH									GO:0000175 3'-5'-RNA exonuclease activity; GO:0003723 RNA binding; GO:0004540 ribonuclease activity; GO:0034427 nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'		
FUN0_003936	scaffold_3:1542844-1544348	-	484	hypothetical protein		ENOG503PBZ9											
FUN0_003937	scaffold_3:1544520-1545105	+	194	hypothetical protein		ENOG503PIBC											
FUN0_003938	scaffold_3:1549343-1549843	-	131	hypothetical protein		ENOG503PJX2											
FUN0_003939	scaffold_3:1550809-1551660	-	180	ornithine aminotransferase		ENOG503NUZV									GO:0030170 pyridoxal phosphate binding; GO:0008483 transaminase activity; GO:0003824 catalytic activity; GO:0004587 ornithine-oxo-acid transaminase activity		
FUN0_003940	scaffold_3:1551719-1552610	-	187	ornithine aminotransferase		ENOG503NUZV									GO:0030170 pyridoxal phosphate binding; GO:0008483 transaminase activity; GO:0003824 catalytic activity; GO:0004587 ornithine-oxo-acid transaminase activity		
FUN0_003941	scaffold_3:1554006-1554827	-	221	hypothetical protein		ENOG503P00F									GO:0016021 membrane		
FUN0_003942	scaffold_3:1556533-1559333	+	764	Vacuolar import and degradation protein 27		ENOG503NX2R									GO:0005515 protein binding		
FUN0_003943	scaffold_3:1559477-1560071	-	179	hypothetical protein		ENOG503PDKF											
FUN0_003944	scaffold_3:1560800-1561666	-	216	Vacuolar protein-sorting-associated protein 24		ENOG503P12C									GO:0007034 vacuolar transport		
FUN0_003945	scaffold_3:1562391-1565468	-	870	hypothetical protein		ENOG503NWCQ									GO:0008270 zinc ion binding; GO:0000981 DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0003677 DNA binding; GO:0006351 DNA-templated transcription; GO:0006355 regulation of DNA-templated transcription		
FUN0_003946	scaffold_3:1565632-1567839	+	638	hypothetical protein		ENOG503P5KK									GO:0016592 mediator complex; GO:0003712 transcription coregulator activity; GO:0006357 regulation of transcription by RNA polymerase II		
FUN0_003947	scaffold_3:1567964-1569095	-	308	60S ribosomal protein L5		ENOG503NU2R									GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0008097 5S rRNA binding; GO:0006412 translation		
FUN0_003948	scaffold_3:1569408-1570199	+	212	hypothetical protein		ENOG503NV9Q									GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
FUN0_003949	scaffold_3:1570800-1573236	+	638	hypothetical protein		ENOG503NWAP											
FUN0_003950	scaffold_3:1573269-1575037	-	520	U3 small nucleolar RNA-associated protein 15		ENOG503NXEF									GO:0005730 nucleolus; GO:0005515 protein binding; GO:0006364 rRNA processing		
FUN0_003951	scaffold_3:1575210-1576031	+	169	hypothetical protein		ENOG503NVEU											
FUN0_003953	scaffold_3:1578359-1579795	-	444	hypothetical protein		ENOG503Q3AQ									GO:0003779 actin binding		
FUN0_003954	scaffold_3:1580024-1582207	-	639	hypothetical protein		ENOG503PF72											
FUN0_003955	scaffold_3:1583957-1595639	+	3578	transcription-associated protein 1		ENOG503NWQJ									GO:0005515 protein binding		
FUN0_003956	scaffold_3:1595838-1597913	-	525	hypothetical protein		ENOG503P73G									GO:0005515 protein binding		
FUN0_003957	scaffold_3:1598048-1599539	+	410	aspartic proteinase precursor		ENOG503NW5J									GO:0000324 fungal-type vacuole; GO:0004190 aspartic-type endopeptidase activity; GO:0006508 proteolysis		
FUN0_003958	scaffold_3:1599875-1602275	+	592	hypothetical protein		ENOG503Q35Q									GO:0005515 protein binding		
FUN0_003958	scaffold_3:1600115-1602275	+	563	hypothetical protein		ENOG503Q35Q									GO:0005515 protein binding		
FUN0_003959	scaffold_3:1603011-1607867	+	1003	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I		ENOG503NUEM									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_003961	scaffold_3:1607960-1609509	-	443	hypothetical protein		ENOG503NX1A									GO:0008180 COP9 signalosome		
FUN0_003962	scaffold_3:1610147-1615925	+	1581	hypothetical protein		ENOG503PI0R											
FUN0_003963	scaffold_3:1616050-1617024	-	255	hypothetical protein		ENOG503P96I											
FUN0_003964	scaffold_3:1617154-1620616	-	823	hypothetical protein		ENOG503NVQ8									GO:0004806 triglyceride lipase activity; GO:0006629 lipid metabolic process		
FUN0_003965	scaffold_3:1621173-1621721	+	140	RNA polymerase III C11 subunit		ENOG503P5TR									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding; GO:0006351 DNA-templated transcription; GO:0042779 tRNA 3'-trailer cleavage		
FUN0_003966	scaffold_3:1622401-1623013	+	114	hypothetical protein		ENOG503P6JS											
FUN0_003967	scaffold_3:1623135-1625482	-	711	origin recognition complex subunit 4		ENOG503NYTH									GO:0005634 nucleus; GO:0000808 origin recognition complex; GO:0003677 DNA binding; GO:0006260 DNA replication		
FUN0_003968	scaffold_3:1625716-1626640	+	272	hypothetical protein		ENOG503PA9H									GO:0016592 mediator complex; GO:0003712 transcription coregulator activity; GO:0006357 regulation of transcription by RNA polymerase II		
FUN0_003969	scaffold_3:1626741-1628628	+	437	putative protein kinase YGL059W		ENOG503NVS5									GO:0004672 protein kinase activity		
FUN0_003970	scaffold_3:1629123-1630251	+	339	hypothetical protein													
FUN0_003971	scaffold_3:1630536-1632346	+	481	Serine/threonine-protein kinase		ENOG503NVS6									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0004674 protein serine/threonine kinase activity; GO:0006468 protein phosphorylation		
FUN0_003972	scaffold_3:1632666-1635121	+	676	ATP-dependent rRNA helicase spb4		ENOG503NXVX									GO:0005524 ATP binding; GO:0003676 nucleic acid binding; GO:0003724 RNA helicase activity		
FUN0_003973	scaffold_3:1635457-1639059	-	1053	hypothetical protein		ENOG503NUW9									GO:0035091 phosphatidylinositol binding		
FUN0_003974	scaffold_3:1639142-1639685	-	160	hypothetical protein		ENOG503PDZR											
FUN0_003975	scaffold_3:1639886-1641205	+	372	hypothetical protein		ENOG503NWBR									GO:0005783 endoplasmic reticulum; GO:0005509 calcium ion binding; GO:0032469 endoplasmic reticulum calcium ion homeostasis		
FUN0_003976	scaffold_3:1641325-1645155	-	1104	hypothetical protein		ENOG503NVRW											
FUN0_003977	scaffold_3:1645567-1647406	-	554	hypothetical protein		ENOG503NUN8											
FUN0_003978	scaffold_3:1648016-1649967	-	516	Glucose-6-phosphate 1-dehydrogenase		ENOG503NWH9									GO:0050661 NADP binding; GO:0004345 glucose-6-phosphate dehydrogenase activity; GO:0016614 oxidoreductase activity, acting on CH-OH group of donors; GO:0006006 glucose metabolic process		
FUN0_003979	scaffold_3:1650308-1651084	+	201	hypothetical protein		ENOG503P2CF											
FUN0_003980	scaffold_3:1651435-1652153	-	165	ubiquitin-conjugating enzyme E2 H		ENOG503NUH5											
FUN0_003981	scaffold_3:1652608-1653358	-	178	hypothetical protein		ENOG503PJGU											
FUN0_003982	scaffold_3:1653665-1654708	-	224	hypothetical protein		ENOG503PDMX											
FUN0_003983	scaffold_3:1655048-1656269	-	300	hypothetical protein		ENOG503PD4V											
FUN0_003984	scaffold_3:1656783-1659743	-	729	hypothetical protein		ENOG503NU7T									GO:0030729 acetoacetate-CoA ligase activity; GO:0006629 lipid metabolic process		
FUN0_003985	scaffold_3:1660230-1660803	+	142	hypothetical protein		ENOG503PE3C											
FUN0_003986	scaffold_3:1661381-1663948	+	570	Endopolyphosphatase		ENOG503NVEG									GO:0005773 vacuole; GO:0016021 membrane; GO:0000298 endopolyphosphatase activity; GO:0016787 hydrolase activity		
FUN0_003987	scaffold_3:1664507-1667446	+	869	hypothetical protein		ENOG503NYF0									GO:0003700 DNA-binding transcription factor activity; GO:0003677 DNA binding; GO:0006355 regulation of DNA-templated transcription		
FUN0_003988	scaffold_3:1667746-1669494	-	525	multicopy suppressor of BFA (Brefeldin A)		ENOG503NY6E											
FUN0_003989	scaffold_3:1670002-1670486	-	144	snoRNA-binding protein		ENOG503NZ5F											
FUN0_003990	scaffold_3:1670650-1672049	-	339	hypothetical protein		ENOG503NZ2I											
FUN0_003990	scaffold_3:1670650-1671812	-	298	hypothetical protein		ENOG503NZ2I											
FUN0_003991	scaffold_3:1672218-1675443	+	1006	hypothetical protein		ENOG503NWTJ											
FUN0_003992	scaffold_3:1675794-1677851	+	608	hypothetical protein		ENOG503P7H5									GO:0071339 MLL1 complex; GO:0090575 RNA polymerase II transcription regulator complex; GO:0046983 protein dimerization activity; GO:0046982 protein heterodimerization activity; GO:1990837 sequence-specific double-stranded DNA binding; GO:0006357 regulation of transcription by RNA polymerase II		
FUN0_003993	scaffold_3:1678395-1680609	+	687	transcription factor IIF subunit tfg1		ENOG503NXBH									GO:0005634 nucleus; GO:0003677 DNA binding; GO:0006367 transcription initiation at RNA polymerase II promoter; GO:0032968 positive regulation of transcription elongation by RNA polymerase II		
FUN0_003994	scaffold_3:1680977-1682603	+	446	hypothetical protein		ENOG503NZUV									GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0005975 carbohydrate metabolic process		
FUN0_003995	scaffold_3:1683220-1685601	-	722	hypothetical protein		ENOG503NV84									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_003995	scaffold_3:1683220-1685523	-	696	hypothetical protein		ENOG503NV84									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_003996	scaffold_3:1686320-1686875	-	125	60S ribosomal protein L35, L29		ENOG503P3ZG									GO:0022625 cytosolic large ribosomal subunit; GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation; GO:0000463 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)		
FUN0_003997	scaffold_3:1688083-1689344	-	265	Enzyme that catalyzes the fourth step in the histidine pathway		ENOG503NVJU									GO:0003949 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity; GO:0000105 histidine biosynthetic process		
FUN0_003998	scaffold_3:1690054-1691505	-	363	hypothetical protein		ENOG503NV05									GO:0004022 alcohol dehydrogenase (NAD+) activity; GO:0046872 metal ion binding; GO:0016491 oxidoreductase activity		
FUN0_003999	scaffold_3:1691784-1694023	+	557	hypothetical protein		ENOG503PCRA									GO:0004190 aspartic-type endopeptidase activity; GO:0006508 proteolysis		
FUN0_004000	scaffold_3:1694200-1696164	-	636	hypothetical protein		ENOG503Q505									GO:0005515 protein binding		
FUN0_004001	scaffold_3:1696676-1698392	-	484	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1		ENOG503NXCK									GO:0016021 membrane; GO:0006486 protein glycosylation		
FUN0_004002	scaffold_3:1698602-1699578	-	253	hypothetical protein		ENOG503P547									GO:0005840 ribosome; GO:0015934 large ribosomal subunit; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
FUN0_004003	scaffold_3:1699748-1700149	+	96	hypothetical protein		ENOG503P6U8											
FUN0_004004	scaffold_3:1700330-1701062	-	210	hypothetical protein		ENOG503P24I									GO:0016671 oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor		
FUN0_004005	scaffold_3:1701183-1701990	-	193	hypothetical protein		ENOG503P7DB									GO:0005758 mitochondrial intermembrane space		
FUN0_004006	scaffold_3:1703075-1705036	-	464	hypothetical protein		ENOG503PEUY									GO:0000981 DNA-binding transcription factor activity, RNA polymerase II-specific		
FUN0_004007	scaffold_3:1705855-1706577	-	199	hypothetical protein		ENOG503PIWT											
FUN0_004008	scaffold_3:1709089-1712139	+	947	hypothetical protein		ENOG503P43X									GO:0005515 protein binding		
FUN0_004009	scaffold_3:1712494-1715589	-	995	hypothetical protein		ENOG503P8Z1											
FUN0_004010	scaffold_3:1715818-1716910	-	279	hypothetical protein		ENOG503NW1X									GO:0005524 ATP binding; GO:0016887 ATP hydrolysis activity; GO:0140662 ATP-dependent protein folding chaperone; GO:0051082 unfolded protein binding; GO:0006457 protein folding		
FUN0_004011	scaffold_3:1716974-1719106	-	525	hypothetical protein		ENOG503NW1X									GO:0005524 ATP binding; GO:0016887 ATP hydrolysis activity; GO:0140662 ATP-dependent protein folding chaperone; GO:0051082 unfolded protein binding; GO:0006457 protein folding		
FUN0_004012	scaffold_3:1719375-1721978	-	721	hypothetical protein		ENOG503NXVM									GO:0005515 protein binding; GO:0070063 RNA polymerase binding; GO:0003712 transcription coregulator activity		
FUN0_004013	scaffold_3:1722315-1729143	-	2026	iqgap- protein		ENOG503NVME									GO:0005515 protein binding; GO:0043087 regulation of GTPase activity; GO:0007165 signal transduction		
FUN0_004014	scaffold_3:1729252-1732359	+	838	Microtubule-nucleating Tub4p (gamma-tubulin) complex component		ENOG503NWMG									GO:0005815 microtubule organizing center; GO:0000922 spindle pole; GO:0043015 gamma-tubulin binding; GO:0007020 microtubule nucleation; GO:0000226 microtubule cytoskeleton organization		
FUN0_004015	scaffold_3:1732445-1733799	-	360	hypothetical protein		ENOG503NXKX									GO:0016021 membrane; GO:0000166 nucleotide binding; GO:0005215 transporter activity; GO:0016887 ATP hydrolysis activity; GO:0005524 ATP binding		
FUN0_004016	scaffold_3:1734945-1736284	-	408	hypothetical protein		ENOG503NXKX									GO:0046872 metal ion binding		
FUN0_004017	scaffold_3:1741343-1744771	-	888	hypothetical protein		ENOG503P3QX											
FUN0_004018	scaffold_3:1745178-1747106	-	625	hypothetical protein		ENOG503P8X2											
FUN0_004019	scaffold_3:1747489-1748679	+	280	CCR4-NOT regulatory complex component		ENOG503NV4A									GO:0005524 ATP binding		
FUN0_004020	scaffold_3:1749960-1750924	+	286	hypothetical protein		ENOG503NYK9									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
FUN0_004021	scaffold_3:1751383-1751849	+	119	hypothetical protein		ENOG503P3NU											
FUN0_004022	scaffold_3:1752379-1756127	-	975	hypothetical protein		ENOG503PAH9									GO:0005524 ATP binding; GO:0000829 inositol heptakisphosphate kinase activity; GO:0046872 metal ion binding		
FUN0_004023	scaffold_3:1756701-1760671	+	1124	hypothetical protein		ENOG503NXKX									GO:0016021 membrane; GO:0019829 ATPase-coupled monoatomic cation transmembrane transporter activity; GO:0005524 ATP binding; GO:0000166 nucleotide binding; GO:0005215 transporter activity; GO:0016887 ATP hydrolysis activity; GO:0006812 monoatomic cation transport		
FUN0_004023	scaffold_3:1757635-1760671	+	849	hypothetical protein		ENOG503NXKX									GO:0016021 membrane; GO:0019829 ATPase-coupled monoatomic cation transmembrane transporter activity; GO:0005524 ATP binding; GO:0000166 nucleotide binding; GO:0005215 transporter activity; GO:0016887 ATP hydrolysis activity; GO:0006812 monoatomic cation transport		
FUN0_004024	scaffold_3:1761295-1762623	+	314	hypothetical protein		ENOG503NVDM											
FUN0_004024	scaffold_3:1761295-1762557	+	310	hypothetical protein		ENOG503NVDM											
FUN0_004025	scaffold_3:1766703-1767305	+	152	hypothetical protein		ENOG503P4YB									GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport		
FUN0_004026	scaffold_3:1767847-1771721	-	1148	hypothetical protein		ENOG503Q36P											
FUN0_004027	scaffold_3:1771883-1774082	+	585	translation termination factor GTPase eRF3		ENOG503NVHC									GO:0005525 GTP binding; GO:0003924 GTPase activity; GO:0003747 translation release factor activity; GO:0006415 translational termination; GO:0000288 nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay		
FUN0_004028	scaffold_3:1774516-1775652	+	340	SAGA complex subunit Sgf73		ENOG503NV9Z									GO:0000124 SAGA complex		
FUN0_004029	scaffold_3:1776062-1780060	+	1159	cytoskeletal protein binding protein		ENOG503NXRA									GO:0043130 ubiquitin binding; GO:0030674 protein-macromolecule adaptor activity; GO:0008092 cytoskeletal protein binding; GO:0005515 protein binding; GO:0042802 identical protein binding; GO:0006897 endocytosis		
FUN0_004030	scaffold_3:1780209-1786850	-	1886	guanine nucleotide exchange protein for ADP-robosylation factor		ENOG503NU1X									GO:0005085 guanyl-nucleotide exchange factor activity; GO:0032012 regulation of ARF protein signal transduction		
FUN0_004031	scaffold_3:1786977-1788311	+	355	Deoxyhypusine synthase		ENOG503NTXI									GO:0008612 peptidyl-lysine modification to peptidyl-hypusine		
FUN0_004032	scaffold_3:1788513-1789475	-	250	hypothetical protein		ENOG503PDE5											
FUN0_004033	scaffold_3:1789719-1790253	-	140	hypothetical protein													
FUN0_004034	scaffold_3:1791239-1793459	-	548	hypothetical protein		ENOG503NU3Z									GO:0030170 pyridoxal phosphate binding; GO:0003824 catalytic activity; GO:0009058 biosynthetic process		
FUN0_004035	scaffold_3:1795522-1796264	+	175	gig suppressor		ENOG503NX95									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
FUN0_004036	scaffold_3:1797055-1797847	+	222	hypothetical protein		ENOG503P751									GO:0048039 ubiquinone binding; GO:0045333 cellular respiration; GO:0006744 ubiquinone biosynthetic process		
FUN0_004037	scaffold_3:1798135-1798882	-	232	hypothetical protein		ENOG503PG4G											
FUN0_004038	scaffold_3:1799849-1803242	+	883	Chitin synthase, class 7		ENOG503NWXV									GO:0016758 hexosyltransferase activity; GO:0004100 chitin synthase activity; GO:0006031 chitin biosynthetic process		
FUN0_004039	scaffold_3:1803530-1804266	-	190	hypothetical protein		ENOG503PFJ4									GO:0046872 metal ion binding		
FUN0_004040	scaffold_3:1804513-1805034	-	134	hypothetical protein		ENOG503P9EV											
FUN0_004041	scaffold_3:1806780-1807591	+	192	GTP-binding protein		ENOG503NYZW									GO:0016020 membrane; GO:0005525 GTP binding; GO:0003924 GTPase activity; GO:0007165 signal transduction		
FUN0_004042	scaffold_3:1808024-1811722	-	874	hypothetical protein		ENOG503NYVS									GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975 carbohydrate metabolic process		
FUN0_004043	scaffold_3:1812286-1814412	-	493	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004044	scaffold_3:1814837-1816830	-	485	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004045	scaffold_3:1817159-1818823	+	499	hypothetical protein		ENOG503NYCW									GO:0000166 nucleotide binding		
FUN0_004046	scaffold_3:1818898-1819711	-	213	hypothetical protein		ENOG503PG7P									GO:0046872 metal ion binding		
FUN0_004047	scaffold_3:1821623-1823565	+	484	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004047	scaffold_3:1821623-1822958	+	337	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004047	scaffold_3:1821817-1823565	+	437	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004047	scaffold_3:1822023-1823129	+	278	hypothetical protein		ENOG503NU7U									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004048	scaffold_3:1824070-1825540	+	435	Nuclear envelope morphology protein 1		ENOG503NV8A									GO:0016791 phosphatase activity		
FUN0_004049	scaffold_3:1825867-1826731	-	216	ESCRT-III subunit protein snf7		ENOG503NX3E									GO:0007034 vacuolar transport		
FUN0_004050	scaffold_3:1827038-1828333	-	362	Sphingosine N-acyltransferase lag1		ENOG503NYZN									GO:0016021 membrane; GO:0050291 sphingosine N-acyltransferase activity; GO:0046513 ceramide biosynthetic process		
FUN0_004051	scaffold_3:1828690-1829646	+	261	hypothetical protein		ENOG503P4FQ									GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
FUN0_004052	scaffold_3:1829781-1830780	-	227	hypothetical protein		ENOG503P1HD											
FUN0_004053	scaffold_3:1831094-1833017	+	572	hypothetical protein		ENOG503P7I0									GO:0003676 nucleic acid binding		
FUN0_004054	scaffold_3:1833410-1834488	+	218	Mitotic exit network component		ENOG503NYK1											
FUN0_004055	scaffold_3:1834904-1836108	-	342	hypothetical protein		ENOG503P5G1											
FUN0_004056	scaffold_3:1838544-1838829	+	94	hypothetical protein													
FUN0_004057	scaffold_3:1839139-1841216	-	580	Putative RNA helicase		ENOG503NVJF									GO:0005524 ATP binding; GO:0003676 nucleic acid binding; GO:0003724 RNA helicase activity		
FUN0_004058	scaffold_3:1841798-1842272	+	67	hypothetical protein													
FUN0_004059	scaffold_3:1842586-1843968	-	423	hypothetical protein		ENOG50KOG0528											
FUN0_004060	scaffold_3:1845030-1846245	-	404	hypothetical protein		ENOG503NU6F									GO:0003725 double-stranded RNA binding		
FUN0_004061	scaffold_3:1846713-1847142	-	107	hypothetical protein		ENOG503P8D8									GO:0033615 mitochondrial proton-transporting ATP synthase complex assembly		
FUN0_004062	scaffold_3:1852277-1853192	+	232	hypothetical protein		ENOG503PJXM									GO:0005515 protein binding; GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
FUN0_004063	scaffold_3:1853701-1856920	+	949	hypothetical protein		ENOG503Q5CI									GO:0005524 ATP binding; GO:0003676 nucleic acid binding		
FUN0_004064	scaffold_3:1857267-1859467	-	569	Elongator subunit elp2		ENOG503NU57									GO:0033588 elongator holoenzyme complex; GO:0005515 protein binding; GO:0002098 tRNA wobble uridine modification		
FUN0_004065	scaffold_3:1859628-1859950	-	86	Glutathione synthetase		ENOG503NU0F											
FUN0_004066	scaffold_3:1860748-1861333	+	157	hypothetical protein		ENOG503PFJ8									GO:0000287 magnesium ion binding; GO:0008897 holo-[acyl-carrier-protein] synthase activity; GO:0006633 fatty acid biosynthetic process		
FUN0_004067	scaffold_3:1861403-1862656	-	362	ccr4 associated factor		ENOG503NVKT									GO:0005515 protein binding		
FUN0_004068	scaffold_3:1862849-1863167	+	89	Dephospho-CoA kinase (Dephosphocoenzyme A kinase) (COAE)		ENOG50KOG4114											
FUN0_004069	scaffold_3:1863601-1864596	+	224	Glutathione S-transferase 2		ENOG503NZ93											
FUN0_004070	scaffold_3:1864906-1865959	+	281	hypothetical protein		ENOG503NY64											
FUN0_004071	scaffold_3:1866238-1866876	-	185	hypothetical protein		ENOG503Q6US									GO:1903259 exon-exon junction complex disassembly		
FUN0_004072	scaffold_3:1866962-1868099	+	291	hypothetical protein		ENOG503NW4B											
FUN0_004072	scaffold_3:1866962-1867876	+	247	hypothetical protein		ENOG503NW4B											
FUN0_004073	scaffold_3:1869463-1870186	+	220	hypothetical protein													
FUN0_004074	scaffold_3:1870536-1872798	-	598	hypothetical protein		ENOG503NWK9											
FUN0_004075	scaffold_3:1872847-1875283	-	550	hypothetical protein		ENOG503NWK9											
FUN0_13056	scaffold_3:1875434-1876924	-	480	hypothetical protein													
FUN0_13056	scaffold_3:1875434-1876661	-	408	hypothetical protein													
FUN0_004076	scaffold_3:1878345-1879707	+	421	hypothetical protein		ENOG503P4W1											
FUN0_004077	scaffold_3:1880005-1882469	-	521	hypothetical protein		ENOG503NU3S									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004078	scaffold_3:1884059-1886496	-	521	hypothetical protein		ENOG503NU3S									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_004079	scaffold_3:1886890-1888388	-	411	hypothetical protein		ENOG503NV1W									GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups; GO:0016746 acyltransferase activity		
FUN0_004080	scaffold_3:1888718-1889447	-	208	hypothetical protein		ENOG503P7ZS									GO:0019787 ubiquitin-like protein transferase activity		
FUN0_004081	scaffold_3:1889629-1890618	+	256	ribosomal 40S subunit protein S1B		ENOG503NVFE									GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
FUN0_004082	scaffold_3:1890936-1891649	+	183	adenine phosphoribosyltransferase		ENOG503NUHG									GO:0005737 cytoplasm; GO:0003999 adenine phosphoribosyltransferase activity; GO:0006168 adenine salvage		
FUN0_004083	scaffold_3:1891822-1895139	-	864	hypothetical protein		ENOG503NU24									GO:0016020 membrane; GO:0005509 calcium ion binding; GO:0004571 mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; GO:0005975 carbohydrate metabolic process; GO:1904380 endoplasmic reticulum mannose trimming; GO:1904382 mannose trimming involved in glycoprotein ERAD pathway		
FUN0_004084	scaffold_3:1895299-1896586	+	318	hypothetical protein		ENOG503P7BV											
FUN0_004085	scaffold_3:1896964-1898877	+	545	hypothetical protein		ENOG503PJY9											
FUN0_004086	scaffold_3:1899382-1900113	-	191	hypothetical protein		ENOG503P61D											
FUN0_004086	scaffold_3:1899444-1900113	-	162	hypothetical protein		ENOG503P61D											
FUN0_004087	scaffold_3:1900243-1901030	+	191	hypothetical protein		ENOG503P6MV											
FUN0_004088	scaffold_3:1901436-1902960	-	383	hypothetical protein		ENOG503P317											
FUN0_004089	scaffold_3:1903212-1907851	+	1326	Dicer-like protein 1		ENOG503NUDM									GO:0005515 protein binding; GO:0004525 ribonuclease III activity; GO:0016891 RNA endonuclease activity, producing 5'-phosphomonoesters; GO:0006396 RNA processing		
FUN0_004090	scaffold_3:1907950-1908286	-	77	hypothetical protein		ENOG503PIGN									GO:0005751 mitochondrial respiratory chain complex IV; GO:0006123 mitochondrial electron transport, cytochrome c to oxygen		
FUN0_004091	scaffold_3:1910414-1912779	+	506	hypothetical protein		ENOG503NW4N									GO:0016491 oxidoreductase activity; GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor		
FUN0_004092	scaffold_3:1913190-1913766	-	141	hypothetical protein		ENOG503P4QF									GO:0008270 zinc ion binding; GO:0000981 DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0006355 regulation of DNA-templated transcription		
FUN0_004093	scaffold_3:1915705-1916693	-	255	Proteasome subunit alpha type-2		ENOG503NTZH									GO:0005839 proteasome core complex; GO:0019773 proteasome core complex, alpha-subunit complex; GO:0006511 ubiquitin-dependent protein catabolic process; GO:0051603 proteolysis involved in protein catabolic process		
FUN0_004094	scaffold_3:1917535-1918255	-	171	peroxiredoxin 1		ENOG503NW6E									GO:0016209 antioxidant activity; GO:0016491 oxidoreductase activity		
FUN0_004095	scaffold_3:1918500-1919618	-	283	RNA polymerase II subunit A C-terminal domain phosphatase		ENOG503NZ1A									GO:0005634 nucleus; GO:0004721 phosphoprotein phosphatase activity; GO:0006397 mRNA processing		
